"Site4","Date","Source","Max Temp","Min Temp","Avg Temp","HDDs","CDDs","Precipitation Water Equiv","Snowfall","Snow/Ice Depth"
"KLAX",1/1/1948 0:00:00,"NCDC-EstDew-EstWind",60,41,50.50,14.50,0.00,0.00,0.00,0.00
"KLAX",1/2/1948 0:00:00,"NCDC-EstDew-EstWind",57,41,49.00,16.00,0.00,0.00,0.00,0.00
"KLAX",1/3/1948 0:00:00,"NCDC-EstDew-EstWind",64,50,57.00,8.00,0.00,0.00,0.00,0.00
"KLAX",1/4/1948 0:00:00,"NCDC-EstDew-EstWind",62,47,54.50,10.50,0.00,0.00,0.00,0.00
"KLAX",1/5/1948 0:00:00,"NCDC-EstDew-EstWind",59,49,54.00,11.00,0.00,0.00,0.00,0.00
"KLAX",1/6/1948 0:00:00,"NCDC-EstDew-EstWind",56,48,52.00,13.00,0.00,0.00,0.00,0.00
"KLAX",1/7/1948 0:00:00,"NCDC-EstDew-EstWind",,49,,0.00,0.00,0.00,0.00,0.00
"KLAX",1/8/1948 0:00:00,"NCDC-EstDew-EstWind",69,46,57.50,7.50,0.00,0.00,0.00,0.00
"KLAX",1/9/1948 0:00:00,"NCDC-EstDew-EstWind",,49,,0.00,0.00,0.00,0.00,0.00
"KLAX",1/10/1948 0:00:00,"NCDC-EstDew-EstWind",81,48,64.50,0.50,0.00,0.00,0.00,0.00
"KLAX",1/11/1948 0:00:00,"NCDC-EstDew-EstWind",59,48,53.50,11.50,0.00,0.00,0.00,0.00
"KLAX",1/12/1948 0:00:00,"NCDC-EstDew-EstWind",78,41,59.50,5.50,0.00,0.00,0.00,0.00
"KLAX",1/13/1948 0:00:00,"NCDC-EstDew-EstWind",83,46,64.50,0.50,0.00,0.00,0.00,0.00
"KLAX",1/14/1948 0:00:00,"NCDC-EstDew-EstWind",81,50,65.50,0.00,0.50,0.00,0.00,0.00
"KLAX",1/15/1948 0:00:00,"NCDC-EstWindFilledDew",,,,0.00,0.00,0.00,0.00,0.00
"KLAX",1/16/1948 0:00:00,"NCDC-EstDew-EstWind",76,46,61.00,4.00,0.00,0.00,0.00,0.00
"KLAX",1/17/1948 0:00:00,"NCDC-EstDew-EstWind",66,43,54.50,10.50,0.00,0.00,0.00,0.00
"KLAX",1/18/1948 0:00:00,"NCDC-EstDew-EstWind",60,44,52.00,13.00,0.00,0.00,0.00,0.00
"KLAX",1/19/1948 0:00:00,"NCDC-EstDew-EstWind",68,40,54.00,11.00,0.00,0.00,0.00,0.00
