,Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total,coordinates
0,1 st ST,AT,MC CADDEN PL,AUT,TUE,February 05 2013,TUE,364.0,763.0,0.0,0.0,1127.0,"(34.0855834, -118.3377961)"
1,1 st ST,AT,ALAMEDA ST,AUTO,CR,January 16 2014,THU,6433.0,11669.0,0.0,0.0,18102.0,"(34.0406348, -118.2028514)"
2,1 st ST,AT,MAIN ST,MIO,CR,March 27 2013,WED,9221.0,9811.0,0.0,0.0,19032.0,"(34.0522387, -118.2433984)"
3,1 st ST,AT,SPRING ST,MIO,CR,March 19 2013,TUE,9365.0,9884.0,0.0,0.0,19249.0,"(34.0529398, -118.2444666)"
4,1 st ST,AT,MAIN ST,MAN,CR,November 08 2011,TUE,11400.0,12497.0,,,23897.0,"(34.0522387, -118.2433984)"
5,10 th AV,AT,48 th ST,AUTO,SR,January 29 2014,WED,0.0,0.0,285.0,358.0,643.0,"(34.03745019999999, -118.263953)"
6,10 th ST,AT,ALMA  ST,AUTO,SR,June 17 2013,MON,428.0,294.0,0.0,0.0,722.0,"(33.7351785, -118.2990055)"
7,102 nd ST,AT,BROADWAY,MAN,SR,November 09 2011,WED,444.0,268.0,,,712.0,"(33.9437384, -118.278396)"
8,102 nd ST,AT,BROADWAY,AUTO,SR,December 09 2013,MON,579.0,326.0,0.0,0.0,905.0,"(33.9437384, -118.278396)"
9,103 rd ST,AT,PALOMA ST,AUTO,SR,January 24 2011,MON,3325.0,2817.0,,,6142.0,"(33.94359000000001, -118.2637945)"
10,103 rd ST,AT,CLOVIS ST,AUTO,SR,January 24 2011,MON,3716.0,3496.0,,,7212.0,"(33.9432927, -118.2564912)"
11,103 rd ST,AT,WEIGARD AV,AUTO,SR,January 25 2011,TUE,5887.0,3805.0,,,9692.0,"(33.9431058, -118.2296523)"
12,103 rd ST,AT,LOU DILLON AV,AUTO,SR,January 25 2011,TUE,6457.0,4454.0,,,10911.0,"(33.9431315, -118.2348487)"
13,103 rd ST,AT,COMPTON AV,AUT,THU,January 31 2013,THU,6165.0,6298.0,0.0,0.0,12463.0,"(33.943258, -118.2462645)"
